code	name	category	source	dualo_code
0,1,3,7,8	Balinaise,Balinoise,Pelog 1	5 notes	Solfego.fr,GuitarPro5,Harmonics.com	0,13,3,7,20
0,2,5,7,9	Chinoise (Première Forme),Pentatonique 4,Zhi (Chine),Raga Devakriya (Inde),Ujo (Corée),Exemple De Slendro,Ritusen Japon,Pentatonique Écossaise	5 notes	Solfego.fr,GuitarPro5,Harmonics.com	0,14,17,7,21
0,4,6,7,11	Chinoise (Deuxième Forme),Raga Malashri (Inde),Chinois	5 notes	Solfego.fr,Harmonics.com	0,4,18,7,11,0,4,6,7,11
0,5,6,7,10	Iwato 2	5 notes	Solfego.fr	0,17,18,7,10,0,17,6,7,10
0,1,5,7,10	Kokin Joshi,Insen,Kokin-joshi,Soft Ascend Japan,Miyakobushi (Japon)	5 notes	Solfego.fr,Wikipedia,Harmonics.com	0,13,17,7,10
0,1,5,7,8	Kumoi,Japonnaise,Miyako-bushi,Japonaise,Sakura Pentatonic Soft Descend	5 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,13,17,7,20
0,2,4,7,10	Pentatonique Dominante	5 notes	Solfego.fr,GuitarPro5,Harmonics.com	0,14,4,7,10
0,2,5,7,10	Pentatonique Égyptienne,Egyptienne,Pentatonique 2,Égyptienne,Pentatonique Suspendue	5 notes	Solfego.fr,GuitarPro5,Harmonics.com	0,14,17,7,10
0,2,4,7,8	Pentatonique Harmonique,Raga Bhupeshwari,Janasammodini (Inde)	5 notes	Solfego.fr,Harmonics.com	0,14,4,7,20
0,2,3,7,9	Pentatonique Japonaise,Dorien Pentatonique,Kumoi Japon,Akebono (Japon)	5 notes	Solfego.fr,Harmonics.com	0,14,3,7,21
0,2,3,6,8	Pentatonique Locrien (Première Forme)	5 notes	Solfego.fr	0,14,3,6,20,0,14,3,18,20
0,1,3,6,8	Pentatonique Locrien (Deuxième Forme),Raga Chhaya Todi (Inde)	5 notes	Solfego.fr,Harmonics.com	0,13,3,6,20,0,13,3,18,20
0,2,4,7,9	Pentatonique Majeure,Chinoise,Mongole,Pentatonique Majeur,Majeur Pentatonique,Gong (Chine),Raga Bhopali,Mohanam,Deskar,Bilahari (Inde)	5 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,14,4,7,21
0,4,5,7,11	Pentatonique Mauritanienne,Ionien Pentatonique,Raga Gambhiranata (Inde)	5 notes	Solfego.fr,Harmonics.com	0,4,17,7,11
0,3,5,7,10	Pentatonique Mineure,Pentatonique Mineur,Blues Pentatonique Mineur,Hard Japan Déscendant,Pyongjo Kyemyonjo (Corée),Minyo (Japon)	5 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,3,17,7,10
0,1,3,7,10	Pentatonique Pelog,Pelog,Raga Rukmangi,Pelog 2	5 notes	Solfego.fr,GuitarPro5,Harmonics.com	0,13,3,7,10
0,3,4,7,8,11	Augmentée, Messiaen Tronqué Mode 3 Inverse,Genus Tertium,Raga Devamani	6 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,3,4,7,20,11
0,2,3,5,7,10	Bahar,Mineur Hexatonique,Nayaki,Yo (Japon),Eskimo Hexatonique 1 (Amérique Du Nord)	6 notes	Solfego.fr,Harmonics.com	0,14,3,17,7,10
0,3,4,6,7,11,11	Bitonal Majeur Chromatique	7 notes	Solfego.fr	0,3,4,18,7,11,11,0,3,4,6,7,11,11
0,2,3,6,7,11	Bitonal Mineur Chromatique,Raga Amarasenapriya (Inde)	6 notes	Solfego.fr,Harmonics.com	0,14,3,18,7,11,0,14,3,6,7,11
0,3,4,6,7,9	Blues Diminué (Deuxième Forme)	6 notes	Solfego.fr	0,3,4,18,7,21,0,3,4,6,7,21
0,1,4,6,8,10	Enigmatique	6 notes	Solfego.fr	0,13,4,18,20,10,0,13,4,6,20,10
0,2,4,6,7,9	Hexa-lydien,Raga Yamuna Kalyani	6 notes	Solfego.fr,Harmonics.com	0,14,4,18,7,21,0,14,4,6,7,21
0,2,3,5,7,9	Hexa-mélodique,Raga Suddha Bangala (Inde)	6 notes	Solfego.fr,Harmonics.com	0,14,3,17,7,21
0,1,3,5,7,8	Hexa-phrygien,Raga Simantini (Inde)	6 notes	Solfego.fr,Harmonics.com	0,13,3,17,7,20
0,3,4,7,9,10	Hexa-tritonique Binaire	6 notes	Solfego.fr	0,3,4,7,21,10
0,2,3,6,8,9	Hexa-tritonique Diminué,Raga Neelangi (Inde)	6 notes	Solfego.fr,Harmonics.com	0,14,3,6,20,21,0,14,3,18,20,21
0,1,3,6,7,9	Hexa-tritonique Diminué 2,Messiaen Mode Tronqué 2	6 notes	Solfego.fr,Harmonics.com	0,13,3,18,7,21,0,13,3,6,7,21
0,2,3,6,7,9	Hexa-tritonique Diminué Suspendu,Raga Vijayanagari	6 notes	Solfego.fr,Harmonics.com	0,14,3,18,7,21,0,14,3,6,7,21
0,4,5,7,8,10	Indoustane,Raga Kamalamanohari (Inde)	6 notes	Solfego.fr,Harmonics.com	0,4,17,7,20,10
0,2,3,4,7,9,11	Blues Majeur (Première Forme)	7 notes	Solfego.fr	0,14,3,4,7,21,11
0,3,5,6,7,9	Blues Majeur (Deuxième Forme),Blues Majeur,Blues	6 notes	Solfego.fr,GuitarPro5	0,3,17,18,7,21,0,3,17,6,7,21
0,3,5,6,7,10	Blues Mineur (Première Forme),Blues Mineur,Blues	6 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,3,17,18,7,10,0,3,17,6,7,10
0,3,6,8,9,10	Blues Mineur (Deuxième Forme)	6 notes	Solfego.fr	0,3,6,20,21,10,0,3,18,20,21,10
0,2,4,6,9,10	Prométhée,Prometheus,Prometheus F # Et Sib	6 notes	Solfego.fr,Wikipedia,Harmonics.com	0,14,4,18,21,10,0,14,4,6,21,10
0,2,4,6,8,10	Ton Par Ton,Ton-par-ton,Auxiliaire Augmentée,Messiaen 1er Mode,Raga Gopriya (Inde),Anhémitonique Hexatonique	6 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,14,4,18,20,10,0,14,4,6,20,10
0,2,3,5,7,8,10	Aéolien,Mineure Naturelle,Ethiopienne,Aeolien Mineur Naturel,Asavari Asc Nats. A À G,Grégorien 2,Assari Thaat (Inde),Se (Chine),Kitmun (Sumérienne)	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,14,3,17,7,20,10
0,2,3,5,6,8,10	Aéolien B5,Mélodique Locrien,Demi Diminué,Locrien Mineur,Hindi 3 Bémoles Et Bv	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,14,3,17,6,20,10,0,14,3,17,18,20,10
0,1,3,4,6,8,10	Altéré Superlocrien,Mélodique Superlocrien,Altérée,Hindi 5 Bémoles,Super Locrien 5 Bémoles,Lydien Augmenté,Hindi 5 Bémoles & Biv,Super Locrien 6 Bémoles,Superlocrien,Super Locrien,Ton-par-ton Diminué	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,13,3,4,18,20,10,0,13,3,4,6,20,10
0,2,4,5,6,8,10	Arabe,Locrien Majeur	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,14,4,17,6,20,10,0,14,4,17,18,20,10
0,2,4,6,7,9,10	Bartock,Bartok,Harmonique,Mélodique Lydien,Acoustique,Lydien B7,Hindi #Iv & Bvii,Mela Vacaspati (Inde),Raga Bhusavati (Inde),Lydien Mixolydien	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,14,4,18,7,21,10,0,14,4,6,7,21,10
0,3,5,6,7,10,11	Blues (Heptatonique),Blues Avec Sensible	7 notes	Solfego.fr,Harmonics.com	0,3,17,18,7,10,11,0,3,17,6,7,10,11
0,1,3,4,6,7,10	Demi-ton Tons Sans Sixte	7 notes	Solfego.fr	0,13,3,4,18,7,10,0,13,3,4,6,7,10
0,2,3,5,7,9,10	Dorien,Kafi D À C Asc. Naturals,Eskimo Heptatonique (Amérique Du Nord),Kafi Thaat (Inde),Embulum (Sumérienne)	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,14,3,17,7,21,10
0,1,4,6,8,10,11	Enigmatique,Enigmatique Ascendant,Enigmatique Ascendante	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,13,4,18,20,10,11,0,13,4,6,20,10,11
0,1,4,5,7,8,10	Espagnole (Première Forme),Espagnole,Juive,Harmonique Mixolydien,Phrygien Dominant,Dorico Flamenco,Avaha Raba,Folk Espagnole,Juive Majeure,Alhijaz (Arabie),Ahavh Rabbah (Israël),Hitzaz (Grèce),Gypsy Espagnol	7 notes	Solfego.fr,GuitarPro5,Wikipedia,Harmonics.com	0,13,4,17,7,20,10
