code	name	en
1 3 5 6 8 10 12	Majeure	Major
1 3 5 8 10	Pentatonique Majeure	Pentatonic Major 
1 4 6 7 8 10	Blues Majeur	Blues Major
1 3 4 6 8 9 11	Mineure Naturelle	Minor
1 3 4 6 8 10 12	Mineure Mélodique	Melodic Minor
1 3 4 6 8 9 12	Mineure Harmonique	Harmonic Minor
1 4 6 8 11	Pentatonique Mineure	Pentatonic Minor
1 4 6 7 8 11	Blues Mineur	Blues Minor
1 4 5 8 9 12	Augmentée	Augmented
1 3 5 6 8 10 11 12	Be-Bop	Be-Bop
1 2 3 4 5 6 7 8 9 10 11 12	Chromatique	Chromatic
1 3 4 6 7 9 10 12	Diminuée 1	Whole-Half
1 2 4 5 7 8 10 11	Diminuée 2	Half-Whole
1 3 5 7 9 11	Ton Par Ton	Whole Tone
1 3 5 6 8 9 10 12	Quinte Augmentée	Augmented fifth
1 3 4 7 8 9 12	Algérienne	Algerian
1 3 5 6 7 9 11	Arabe	Arabian
1 2 4 8 9	Balinoise	Balinese
1 3 5 7 8 10 11	Bartok	Bartok
1 2 5 6 8 9 12	Byzantine	Byzantine
1 3 5 8 10	Chinoise	Chinese
1 3 6 8 11	Egyptienne	Egyptian
1 2 5 7 9 11 12	Enigmatique Ascendant	Enigmatic Ascending
1 2 5 6 8 9 11	Espagnole	Spanish
1 2 4 5 6 7 9 11	Espagnole 8 tons	Spanish 8 Tone
1 3 4 6 8 9 11	Ethiopienne	Ethiopian
1 2 5 6 8 10 11	Gypsy	Gypsy
1 3 4 7 8 9 11	Gypsy Hongroise	Hungarian Gypsy
1 3 5 6 8 9 11	Indienne	Hindu
1 2 6 7 11	Iwato	Iwato
1 2 6 8 9	Japonnaise	Japanese
1 2 4 6 8 10 11	Javanaise	Javanese
1 2 5 6 8 9 11	Juive	Jewish
1 3 4 6 8 10 12	Hawaïenne	Hawaiian
1 3 4 8 9	Hirajoshi	Hirajoshi
1 3 4 7 8 9 12	Hongroise Mineure	Hungarian Minor
1 4 5 7 8 10 11	Hongroise Majeure	Hungarian Major
1 2 6 8 9	Kumoi	Kumoi
1 3 5 7 9 11 12	Ton Par Ton Sensible	Leading Whole Tone
1 3 4 6 8 9 12	Mahométan	Mohammedan
1 3 5 8 10	Mongole	Mongolian
1 2 4 6 8 9 12	Napolitaine Mineure	Neapolitan Minor
1 2 4 6 8 10 12	Napolitaine Majeure	Neapolitan Major
1 2 5 6 7 10 11	Orientale	Oriental
1 3 5 7 8 10 11	Harmonique	Overtone
1 2 4 8 11	Pelog	Pelog
1 2 5 6 7 9 12	Persienne	Persian
1 3 5 6 8 10 12	Ionien	Ionian
1 3 4 6 8 10 11	Dorien	Dorian
1 2 4 6 8 9 11	Phrygien	Phrygian
1 3 5 7 8 10 12	Lydien	Lydian
1 3 5 6 8 10 11	Mixolydien	Mixolydian
1 3 4 6 8 9 11	Aéolien	Aeolian
1 2 4 6 7 9 11	Locrien	Locrian
1 3 4 6 8 9 12	Harmonique Ionien	Ionian Harmonic
1 2 4 6 7 10 11	Harmonique Dorien	Locrian Nat 6
1 3 5 6 9 10 12	Harmonique Phrygien	Major Sharp 5
1 3 4 7 8 10 11	Harmonique Lydien	Dorian Sharp 4
1 2 5 6 8 9 11	Harmonique Mixolydien	Phrygian Major
1 4 5 7 8 10 12	Harmonique Aéolien	Lydian Sharp 2
1 2 4 5 7 9 10	Harmonique Locrien	Superlocrian Double Flat 7
1 3 4 6 8 10 12	Mélodique Ionien,Jazz Mineur	Jazz Minor
1 2 4 6 8 10 12	Mélodique Dorien	Dorian b2 Minor
1 3 5 7 9 10 12	Mélodique Lydien augmenté	Lydian Augmented Minor
1 3 5 7 8 10 11	Mélodique Lydien	Lydian Flat 7 Minor
1 3 5 6 8 9 11	Mélodique Mixolydien	Mixolydian Flat 6 Minor
1 3 4 6 7 9 11	Mélodique Locrien	Locrian Sharp 2 Minor
1 2 4 5 7 9 11	Mélodique Superlocrien	Superlocrian Minor
1 3 5 8 10	Pentatonique Majeur	Pentatonic Majeur
1 3 6 8 11	Pentatonique 2	Pentatonic 2
1 4 6 9 11	Pentatonique 3	Pentatonic 3
1 3 6 8 10	Pentatonique 4	Pentatonic 4
1 3 5 8 11	Pentatonique Dominante	Pentatonic Dominant
1 4 6 8 11	Pentatonique Mineur	Pentatonic Minor
1 2 5 8 10	Pentatonique Altéré	Altered Pentatonic
1 4 6 7 8 10	Blues	Blues
