code	name	en
0 1 2 3 5 7 9 10	Adonaï Malakh (Israël)	Adonai Malakh (Israel)
0 2 3 5 7 8 10	Aeolien Mineur Naturel,Asavari Asc Nats. A à G,Grégorien 2,Assari Thaat (Inde),SE (Chine),Kitmun (sumérienne)	Aeolian Natural Minor,Asavari Asc Nats. A to G,Gregorian 2,Assari Thaat (India),Se (China),Kitmun (Sumarian)
0 2 3 5 6 7 8 11	Algérienne	Algerian
0 1 5 7 9	Pentatonique altérée	Altered Pentatonic
0 3 4 7 8 11	Augmentée, Messiaen tronqué mode 3 Inverse,genus tertium,Raga Devamani	Augmented,Messiaen Truncated Mode 3 Inverse,genus tertium,Raga Devamani
0 2 3 5 6 8 9 11	Auxiliaire diminuée	Auxillary Diminished
0 1 4 6 7	Balinaise pentatonique	Balinese Pentatonic
0 1 3 7 8	Balinaise,Pelog 1	Balinese,Pelog 1
0 1 4 5 7 9 11	Bhairubahar Thaat (Inde)	Bhairubahar Thaat (India)
0 3 5 6 11	Blues #V	Blues #V
0 1 3 4 6 7 9 10	Blues diminué	Blues Diminished
0 2 3 4 7 9	Blues dorien Hexatonique	Blues Dorian Hexatonic
0 1 3 4 7 9	Blues dorien Hexatonique 2	Blues Dorian Hexatonic 2
0 3 5 6 7 9 10	Blues heptatonique	Blues Heptatonic
0 3 5 6 7 10	Blues Mineur	Blues Minor
0 3 5 6 7 11	Blues mineur Maj7	Blues Minor Maj7
0 2 3 5 6 7 10	Blues modifié	Blues Modified
0 2 3 5 6 7 9 10	Blues Octatonique	Blues Octatonic
0 3 5 7 10	Blues pentatonique mineur,Hard Japan déscendant,Pyongjo Kyemyonjo (Corée),Minyo (Japon)	Blues Pentatonic Minor,Hard Japan descending,Pyongjo Kyemyonjo (Korea),Minyo (Japan)
0 3 5 8 10	Blues pentatonique mineur,Hard Japan déscendant,Raga Malkauns	Blues Pentatonic Minor,Hard Japan descending,Raga Malkauns
0 1 3 5 6 7 10	Blues phrygien	Blues Phrygian
0 3 5 6 7 10 11	Blues avec sensible	Blues with Leading Tone
0 3 5 6 11	Blues #V	Blues #V
0 1 2 5 7 8 9	Dorien Chromatique,Raga Kanakambari (Inde)	Chromatic Dorian,Raga Kanakambari (India)
0 3 4 5 7 10 11	Dorien Chromatique inverse,Raga None (Inde)	Chromatic Dorian Inverse,Raga None (India)
0 2 3 4 7 8 9	Hypodorien Chromatique	Chromatic Hypodorian
0 3 4 5 8 9 10	Hypodorien Chromatique inverse	Chromatic Hypodorian Inverse
0 1 4 5 6 8 11	Hypolydien Chromatique inverse,le persan	Chromatic Hypolydian Inverse,Persian
0 1 4 6 7 8 11	Hypolydien Chromatique,Puravi BVI	Chromatic Hypolydian,Puravi bVI
0 1 2 5 6 7 9	Hypophrygien Chromatique inverse	Chromatic Hypophrygian Inverse
0 1 4 5 6 9 11	lydien Chromatique	Chromatic Lydian
0 1 3 6 7 8 11	lydien chromatique inverse,Todi BVI	Chromatic Lydian Inverse,Todi bVI
0 1 2 4 6 7 10	Mixolydien chromatique	Chromatic Mixolydian
0 1 2 5 6 7 10	Mixolydien chromatique	Chromatic Mixolydian
0 2 5 6 7 10 11	Mixolydien chromatique inverse	Chromatic Mixolydian Inverse
0 3 4 5 8 10 11	Phrygien Chromatique	Chromatic Phrygian
0 1 2 4 7 8 9	Phrygien Chromatique inverse	Chromatic Phrygian Inverse
0 2 3 5 6 8 9 11	Diminué	Diminished
0 2 4 5 7 9 10 11	Bebop Dominant	Dominant Bebop
0 2 4 7 10	Pentatonique Dominante	Dominant Pentatonic
0 2 3 5 7 8 9 10	Aeolien dorien	Dorian Aeolian
0 2 3 5 6 9 10	dorien b5	Dorian b5
0 2 3 7 9	dorien pentatonique,Kumoi Japon,Akebono (Japon)	Dorian Pentatonic,Kumoi Japan,Akebono (Japan)
0 2 3 5 7 9 10	dorien,Kafi D à C asc. Naturals,Eskimo heptatonique (Amérique du Nord),Kafi Thaat (Inde),Embulum (sumérienne)	Dorian,Kafi  D to C asc. naturals,Eskimo Heptatonic (N. America),Kafi Thaat (India),Embulum (Sumerian)
0 1 3 5 6 9	Double-phrygien hexatonique	Double-Phrygian Hexatonic
0 2 5 7 10	Égyptienne,pentatonique suspendue	Egyptian,Suspended Pentatonic
0 1 4 5 6 8 10 11	Énigmatique	Enigmatic
