name	code
Balinaise	T 2m 3m 5 6m
Chinoise (première forme)	T 2 4 5 6
Chinoise (deuxième forme)	T 3 4+ 5 7
Hirajoshi	T 2 3m 5 6m
Iwato	T 4 4+ 5 7m
Kokin joshi	T 2m 4 5 7m
Kumoi	T 2m 4 5 6m
Pentatonique dominante	T 2 3 5 7m
Pentatonique égyptienne	T 2 4 5 7m
Pentatonique harmonique	T 2 3 5 6m
Pentatonique japonaise	T 2 3m 5 6
Pentatonique locrien (première forme)	T 2 3m 5° 6m
Pentatonique locrien (deuxième forme)	T 2m 3m 5° 6m
Pentatonique majeure	T 2 3 5 6
Pentatonique mauritanienne	T 3 4 5 7
Pentatonique mineure	T 3m 4 5 7m
Pentatonique pelog	T 2m 3m 5 7m
Augmentée	T 3m 3 5 6m 7
Bahar	T 2 3m 4 5 7m
Bitonal majeur chromatique	T 3m 3 5° 5 7 7
Bitonal mineur chromatique	T 2 3m 5° 5 7
Blues diminué (deuxième forme)	T 3m 3 5° 5 6
Enigmatique	T 2m 3 4+ 6m 7m
Hexa-lydien	T 2 3 4+ 5 6
Hexa-mélodique	T 2 3m 4 5 6
Hexa-phrygien	T 2m 3m 4 5 6m
Hexa-tritonique binaire	T 3m 4° 5 6 7m
Hexa-tritonique diminué	T 2 3m 4+ 5+ 6
Hexa-tritonique diminué 2	T 2m 3m 4+ 5 6
Hexa-tritonique diminué suspendu	T 2 3m 4+ 5 6
Indoustane	T 3 4 5 6m 7m
Majeur blues (première forme)	T 2 3m 3 5 6 7
Majeur blues (deuxième forme)	T 3m 4 4+ 5 6
Mineur blues (première forme)	T 3m 4 4+ 5 7m
Mineur blues (deuxième forme)	T 3m 4+ 6m 6 7m
Prométhée	T 2 3 4+ 6 7m
Ton par ton	T 2 3 4+ 6m 7m
Aéolien	T 2 3m 4 5 6m 7m
Aéolien b5	T 2 3m 4 5° 6m 7m
Altéré superlocrien	T 2m 3m 4° 5° 6m 7m
Arabe	T 2 3 4 5° 6m 7m
Bartock	T 2 3 4+ 5 6 7m
Blues (heptatonique)	T 2+ 3+ 4+ 5 6+ 7
Demi-ton tons sans sixte	T 2m 3m 3 4+ 5 7m
Dorien	T 2 3m 4 5 6 7m
Enigmatique	T 2m 3 4+ 5+ 6+ 7
Espagnole (première forme)	T 2m 3 4 5 6m 7m
Gitane	T 2m 3 4 5 6 7m
Gypsy	T 2m 3 4 5 6m 7
Hindou	T 2 3 4 5 6m 7m
Hongroise gitane	T 2 3m 4+ 5 6m 7m
Hongroise majeure	T 2+ 3 4+ 5 6 7m
Hongroise mineure	T 2 3m 4+ 5 6m 7
Ionien	T 2 3 4 5 6 7
Ionien #5	T 2 3 4 5+ 6 7
Javanais	T 2m 3m 4 5 6 7m
Locrien	T 2m 3m 4 5° 6m 7m
Locrien bécarre 6	T 2m 3m 4 5° 6 7m
Lydien	T 2 3 4+ 5 6 7
Lydien #2	T 2+ 3 4+ 5 6 7
Lydien augmenté	T 2 3 4+ 5+ 6 7
Majeure harmonique	T 2 3 4 5 6m 7
Mineure harmonique	T 2 3m 4 5 6m 7
Mineure mélodique	T 2 3m 4 5 6 7
Mixolydien	T 2 3 4 5 6 7m
Napolitaine majeure	T 2m 3m 4 5 6 7
Napolitaine mineure	T 2m 3m 4 5 6m 7
Orientale (première forme)	T 2m 3 4 5° 6m 7m
Orientale (deuxième forme)	T 2m 3 4 5° 6m 7°
Orientale (troisième forme)	T 2+ 3 4 5+ 6 7
Persane (première forme)	T 2m 3 4 4+ 5 7m
Persane (deuxième forme)	T 2m 3 4 5° 6m 7
Phrygien	T 2m 3m 4 5 6m 7m
Roumain mineur	T 2 3m 4+ 5 6 7m
Superlocrien bb7	T 2m 3m 4° 5° 6m 7°
Bebop dominante	T 2 3 4 5 6 7m 7
Bebop majeur	T 2 3 4 5 6m 6 7
Bebop mineur	T 2 3m 3 4 5 6 7m
Blues diminué (première forme)	T 2m 3m 3 5° 5 6 7m
Demi-diminué	T 2m 3m 3 5° 5 6 7
Diminué	T 2 3m 4 5° 6m 6 7
Espagnole (deuxième forme)	T 2m 3m 3 4 5° 6m 7m
Espagnole 8 sons	T 2m 3m 3 4 5 6m 7m
